identifier,مصر_الثورة_النظام_أى_هى_الدولة_الآن,الشرطة_الأمن_الثورة_التحرير_المتظاهرين_ميدان_مبارك,المجلس_مجلس_وزير_وزارة_أمس_الوزراء_المصرى,المحافظة_وفى_المحافظ_بالمحافظة_مدينة_جنيه_سيناء,مصر_هل_الآن_الناس_الله_ولكن_أحد,AY_العام_النيابة_الدولة_وزير_المستشار_مبارك,الفريق_النادى_الفنى_الكرة_الأول_الأهلى_المباراة,جنيه_مصر_الشركة_شركة_المالية_الشركات_ألف,يا_اللى_أنا_مش_ده_إيه_لى,المسلمين_مصر_الإسلامية_الأقباط_الله_الكنيسة_الإسلام,مدير_النيابة_اللواء_المتهم_الأمن_التحقيقات_القبض,الحزب_الانتخابات_الشعب_الوطنى_مجلس_الإخوان_المجلس,مصر_الأمريكية_المتحدة_العربية_إسرائيل_المصرية_الدول,القذافى_أمس_ليبيا_تونس_الرئيس_وفى_البلاد,الفيلم_فيلم_المصرى_وفى_مصر_العام_السينما
AY041536,0.187151099329487,3.11866521128957e-05,3.11866521128957e-05,3.11866521128957e-05,0.16220177763917,3.11866521128957e-05,3.11866521128957e-05,3.11866521128957e-05,0.085794479962576,3.11866521128957e-05,3.11866521128957e-05,3.11866521128957e-05,3.11866521128957e-05,3.11866521128957e-05,0.564509589895525
AY041537,0.158950794562512,3.82921692513881e-05,3.82921692513881e-05,3.82921692513881e-05,0.245108175378135,3.82921692513881e-05,3.82921692513881e-05,3.82921692513881e-05,0.158950794562512,3.82921692513881e-05,3.82921692513881e-05,3.82921692513881e-05,3.82921692513881e-05,3.82921692513881e-05,0.436569021635076
AY041538,0.142799899824693,5.00876533934385e-05,5.00876533934385e-05,5.00876533934385e-05,0.142799899824693,5.00876533934385e-05,5.00876533934385e-05,5.00876533934385e-05,0.0576508890558477,5.00876533934385e-05,5.00876533934385e-05,5.00876533934385e-05,5.00876533934385e-05,5.00876533934385e-05,0.656198347107438
AY041539,0.000234466588511137,0.000234466588511137,0.258147713950762,0.094021101992966,0.000234466588511137,0.000234466588511137,0.000234466588511137,0.633294255568582,0.000234466588511137,0.000234466588511137,0.000234466588511137,0.000234466588511137,0.000234466588511137,0.011957796014068,0.000234466588511137
AY041540,8.05477245267821e-05,8.05477245267821e-05,0.0886830447039871,8.05477245267821e-05,8.05477245267821e-05,8.05477245267821e-05,8.05477245267821e-05,0.511558598469593,8.05477245267821e-05,8.05477245267821e-05,8.05477245267821e-05,8.05477245267821e-05,0.358517921868707,8.05477245267821e-05,0.0403544099879178
AY041541,0.546312914553258,7.80335544284042e-05,0.0976199765899337,7.80335544284042e-05,0.0781115879828326,7.80335544284042e-05,7.80335544284042e-05,7.80335544284042e-05,7.80335544284042e-05,0.22247366367538,7.80335544284042e-05,7.80335544284042e-05,0.0312914553257901,7.80335544284042e-05,0.0234880998829497
AY041542,7.95861520095503e-05,7.95861520095503e-05,0.0518105849582173,7.95861520095503e-05,7.95861520095503e-05,0.457699960206924,7.95861520095503e-05,7.95861520095503e-05,7.95861520095503e-05,0.147313967369678,0.210982888977318,7.95861520095503e-05,0.12741742936729,0.00405889375248707,7.95861520095503e-05
AY041543,0.00010136847440446,0.00010136847440446,0.593106943740497,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.405575266092245,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.00010136847440446,0.00010136847440446
AY041544,4.91038546525902e-05,4.91038546525902e-05,4.91038546525902e-05,4.91038546525902e-05,0.449349373925853,0.152271053277682,4.91038546525902e-05,4.91038546525902e-05,0.11544316228824,0.0196906457156887,0.0246010311809477,0.174367787871348,0.0638841149030199,4.91038546525902e-05,4.91038546525902e-05
AY041545,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.0881405563689605,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.90805270863836,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.000292825768667643
