identifier,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
TH20110427$373,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,0.033284853521712,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,4.15541242468315e-05,0.743860378142531,0.222356118844795,4.15541242468315e-05,4.15541242468315e-05
TH20110427$374,0.13759713090257,0.101733413030484,0.000119545726240287,0.000119545726240287,0.119665271966527,0.030005977286312,0.364734010759115,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.245188284518828,0.000119545726240287,0.000119545726240287,0.000119545726240287
TH20110427$375,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.285129118432769,0.000178094390026714,0.000178094390026714,0.000178094390026714,0.712555654496883,0.000178094390026714,0.000178094390026714,0.000178094390026714
TH20110427$376,0.754735152487962,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.192937399678973,0.000321027287319422,0.0484751203852327,0.000321027287319422
TH20110427$377,0.00068259385665529,0.00068259385665529,0.273720136518771,0.00068259385665529,0.00068259385665529,0.3419795221843,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.3419795221843,0.00068259385665529,0.0348122866894198,0.00068259385665529
TH20110427$378,0.000120264582080577,0.168490679494889,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.829945880938064,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577,0.000120264582080577
TH20110427$379,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.0684856753069577,0.000272851296043656,0.36862210095498,0.300409276944065,0.000272851296043656,0.259481582537517
TH20110427$380,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.991836734693878,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746
TH20110427$381,0.000288600288600289,0.000288600288600289,0.000288600288600289,0.000288600288600289,0.000288600288600289,0.000288600288600289,0.000288600288600289,0.0147186147186147,0.13015873015873,0.000288600288600289,0.173448773448773,0.678499278499279,0.000288600288600289,0.000288600288600289,0.000288600288600289
TH20110427$382,0.165027322404372,0.32896174863388,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.110382513661202,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.219672131147541,0.00109289617486339,0.165027322404372
TH20110427$383,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.988932806324111,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095
